,intVar1,intVar2,intVar3,intVar4
0,43,152,74,103
0,02-05-2022 19:16:40,363,332,2,195
0,02-05-2022 19:16:40,4,484,227,89
0,02-05-2022 19:16:40,145,203,278,426
0,02-05-2022 19:16:40,401,366,107,256
0,02-05-2022 19:16:40,424,24,188,161
0,02-05-2022 19:16:40,196,335,141,445
0,02-05-2022 19:16:40,204,45,61,246
0,02-05-2022 19:16:40,253,21,68,179
0,02-05-2022 19:16:40,499,344,6,51
0,02-05-2022 19:16:40,136,197,488,17
0,02-05-2022 19:16:40,360,407,89,233
0,02-05-2022 19:16:40,1,126,282,365
0,02-05-2022 19:16:40,25,338,231,150
0,02-05-2022 19:16:40,284,259,104,418
0,02-05-2022 19:16:40,237,419,421,70
0,02-05-2022 19:16:40,121,221,58,449
0,02-05-2022 19:16:40,234,281,16,67
0,02-05-2022 19:16:40,245,78,31,486
0,02-05-2022 19:16:40,280,86,75,160
0,02-05-2022 19:16:40,196,28,426,340
0,02-05-2022 19:16:40,281,199,399,85
0,02-05-2022 19:16:40,122,171,191,69
0,02-05-2022 19:16:40,322,217,136,52
0,02-05-2022 19:16:40,373,361,210,87
0,02-05-2022 19:16:40,284,171,29,182
0,02-05-2022 19:16:40,24,408,323,28
0,02-05-2022 19:16:40,458,476,235,386
0,02-05-2022 19:16:40,451,403,354,456
0,02-05-2022 19:16:40,336,1,476,155
0,02-05-2022 19:16:40,411,221,111,235
0,02-05-2022 19:16:40,181,246,347,300
0,02-05-2022 19:16:40,477,120,324,416
0,02-05-2022 19:16:40,282,24,69,152
0,02-05-2022 19:16:40,257,286,321,37
0,02-05-2022 19:16:40,314,72,115,239
0,02-05-2022 19:16:40,109,358,309,483
0,02-05-2022 19:16:40,2,328,481,238
0,02-05-2022 19:16:40,423,374,209,452
0,02-05-2022 19:16:40,112,369,347,138
0,02-05-2022 19:16:40,166,316,79,287
0,02-05-2022 19:16:40,187,256,179,407
0,02-05-2022 19:16:40,158,378,401,403
0,02-05-2022 19:16:40,117,247,380,383
0,02-05-2022 19:16:40,144,352,116,83
0,02-05-2022 19:16:40,364,148,119,188
0,02-05-2022 19:16:40,192,227,281,261
0,02-05-2022 19:16:40,459,286,322,67
0,02-05-2022 19:16:40,170,461,316,153
0,02-05-2022 19:16:40,215,118,481,470
0,02-05-2022 19:16:40,156,474,434,121
0,02-05-2022 19:16:40,147,66,158,251
0,02-05-2022 19:16:40,438,72,246,270
0,02-05-2022 19:16:40,425,270,61,367
0,02-05-2022 19:16:40,290,141,396,109
0,02-05-2022 19:16:40,25,242,78,345
0,02-05-2022 19:16:40,286,92,77,90
0,02-05-2022 19:16:40,428,202,194,133
0,02-05-2022 19:16:40,95,152,80,386
0,02-05-2022 19:16:40,75,218,21,441
0,02-05-2022 19:16:40,253,344,15,491
0,02-05-2022 19:16:40,373,479,2,212
0,02-05-2022 19:16:40,329,150,346,251
0,02-05-2022 19:16:40,434,427,166,446
0,02-05-2022 19:16:40,210,7,165,492
0,02-05-2022 19:16:40,91,385,356,455
0,02-05-2022 19:16:40,268,95,226,184
0,02-05-2022 19:16:40,151,97,15,142
0,02-05-2022 19:16:40,75,53,118,8
0,02-05-2022 19:16:40,269,341,87,200
0,02-05-2022 19:16:40,205,267,60,180
0,02-05-2022 19:16:40,118,332,352,249
0,02-05-2022 19:16:40,146,233,159,127
0,02-05-2022 19:16:40,343,395,438,289
0,02-05-2022 19:16:40,219,269,247,286
0,02-05-2022 19:16:40,365,452,460,357
0,02-05-2022 19:16:40,101,469,349,107
0,02-05-2022 19:16:40,396,106,220,438
0,02-05-2022 19:16:40,198,83,444,166
0,02-05-2022 19:16:40,5,238,231,186
0,02-05-2022 19:16:40,305,396,66,260
0,02-05-2022 19:16:40,410,242,18,404
0,02-05-2022 19:16:40,23,247,3,363
0,02-05-2022 19:16:40,332,227,173,89
0,02-05-2022 19:16:40,202,413,500,411
0,02-05-2022 19:16:40,414,59,339,99
0,02-05-2022 19:16:40,16,26,13,36
0,02-05-2022 19:16:40,273,95,490,195
0,02-05-2022 19:16:40,82,462,465,349
0,02-05-2022 19:16:40,111,439,410,222
0,02-05-2022 19:16:40,138,295,456,331
0,02-05-2022 19:16:40,264,117,450,465
0,02-05-2022 19:16:40,160,31,345,426
0,02-05-2022 19:16:40,203,204,74,91
0,02-05-2022 19:16:40,260,306,126,102
0,02-05-2022 19:16:40,484,179,217,435
0,02-05-2022 19:16:40,363,20,246,401
0,02-05-2022 19:16:40,132,360,240,390
0,02-05-2022 19:16:40,252,124,331,47
0,02-05-2022 19:16:40,201,481,476,191
0,02-05-2022 19:16:40,205,356,414,285
0,02-05-2022 19:16:40,377,125,237,475
0,02-05-2022 19:16:40,422,60,225,290
0,02-05-2022 19:16:40,265,401,213,307
0,02-05-2022 19:16:40,400,157,448,206
0,02-05-2022 19:16:40,39,178,430,41
0,02-05-2022 19:16:40,118,221,306,105
0,02-05-2022 19:16:40,398,155,267,219
0,02-05-2022 19:16:40,461,208,394,26
0,02-05-2022 19:16:40,69,354,86,82
0,02-05-2022 19:16:40,434,50,255,95
0,02-05-2022 19:16:40,500,368,385,149
0,02-05-2022 19:16:40,61,40,192,147
0,02-05-2022 19:16:40,283,106,327,23
0,02-05-2022 19:16:40,297,135,423,380
0,02-05-2022 19:16:40,197,384,381,54
0,02-05-2022 19:16:40,229,71,75,380
0,02-05-2022 19:16:40,81,236,391,81
0,02-05-2022 19:16:40,381,275,87,148
0,02-05-2022 19:16:40,57,122,499,184
0,02-05-2022 19:16:40,423,214,184,81
0,02-05-2022 19:16:40,471,206,261,395
0,02-05-2022 19:16:40,427,399,452,420
0,02-05-2022 19:16:40,469,341,408,274
0,02-05-2022 19:16:40,263,397,477,416
0,02-05-2022 19:16:40,282,251,2,220
0,02-05-2022 19:16:40,295,248,345,292
0,02-05-2022 19:16:40,209,108,368,475
0,02-05-2022 19:16:40,295,293,26,289
0,02-05-2022 19:16:40,239,469,469,349
0,02-05-2022 19:16:40,81,182,179,317
0,02-05-2022 19:16:40,129,411,398,69
0,02-05-2022 19:16:40,78,418,270,77
0,02-05-2022 19:16:40,478,350,33,322
0,02-05-2022 19:16:40,248,205,293,263
0,02-05-2022 19:16:40,21,306,156,240
0,02-05-2022 19:16:40,98,116,10,434
0,02-05-2022 19:16:40,344,62,154,91
0,02-05-2022 19:16:40,283,74,488,345
0,02-05-2022 19:16:40,419,116,454,376
0,02-05-2022 19:16:40,499,352,300,292
0,02-05-2022 19:16:40,387,264,226,108
0,02-05-2022 19:16:40,147,335,468,26
0,02-05-2022 19:16:40,42,442,211,257
0,02-05-2022 19:16:40,15,393,27,176
0,02-05-2022 19:16:40,434,8,12,436
0,02-05-2022 19:16:40,135,350,472,395
0,02-05-2022 19:16:40,228,285,339,357
0,02-05-2022 19:16:40,340,242,218,44
0,02-05-2022 19:16:40,12,456,363,451
0,02-05-2022 19:16:40,20,249,357,323
0,02-05-2022 19:16:40,488,286,44,43
0,02-05-2022 19:16:40,343,17,326,299
0,02-05-2022 19:16:40,320,8,497,392
0,02-05-2022 19:16:40,290,61,431,70
0,02-05-2022 19:16:40,499,319,123,141
0,02-05-2022 19:16:40,209,255,481,344
0,02-05-2022 19:16:40,416,291,101,116
0,02-05-2022 19:16:40,347,49,45,46
0,02-05-2022 19:16:40,203,371,247,369
0,02-05-2022 19:16:40,402,354,235,199
0,02-05-2022 19:16:40,11,472,36,252
0,02-05-2022 19:16:40,336,67,35,328
0,02-05-2022 19:16:40,356,260,7,446
0,02-05-2022 19:16:40,79,25,396,170
0,02-05-2022 19:16:40,11,126,192,105
0,02-05-2022 19:16:40,351,392,278,299
0,02-05-2022 19:16:40,204,245,158,92
0,02-05-2022 19:16:40,174,73,249,72
0,02-05-2022 19:16:40,26,475,64,159
0,02-05-2022 19:16:40,24,160,384,417
0,02-05-2022 19:16:40,17,274,32,419
0,02-05-2022 19:16:40,27,0,328,70
0,02-05-2022 19:16:40,363,59,136,162
0,02-05-2022 19:16:40,14,46,362,145
0,02-05-2022 19:16:40,427,481,286,422
0,02-05-2022 19:16:40,210,4,460,310
0,02-05-2022 19:16:40,204,277,416,180
0,02-05-2022 19:16:40,45,27,2,10
0,02-05-2022 19:16:40,372,466,148,495
0,02-05-2022 19:16:40,24,156,303,375
0,02-05-2022 19:16:40,191,345,135,159
0,02-05-2022 19:16:40,462,50,336,230
0,02-05-2022 19:16:40,126,12,94,488
0,02-05-2022 19:16:40,402,219,135,220
0,02-05-2022 19:16:40,188,241,156,325
0,02-05-2022 19:16:40,368,149,154,377
0,02-05-2022 19:16:40,386,289,411,339
0,02-05-2022 19:16:40,321,39,410,43
0,02-05-2022 19:16:40,70,472,68,74
0,02-05-2022 19:16:40,350,498,458,390
0,02-05-2022 19:16:40,195,371,336,301
0,02-05-2022 19:16:40,22,233,323,264
0,02-05-2022 19:16:40,51,74,283,361
0,02-05-2022 19:16:40,340,422,324,313
0,02-05-2022 19:16:40,359,385,271,227
0,02-05-2022 19:16:40,154,47,166,213
0,02-05-2022 19:16:40,441,374,202,422
0,02-05-2022 19:16:40,302,153,274,40
0,02-05-2022 19:16:40,29,89,49,28
0,02-05-2022 19:16:40,314,266,365,492
0,02-05-2022 19:16:40,157,260,249,248
0,02-05-2022 19:16:40,388,345,465,23
0,02-05-2022 19:16:40,421,162,354,390
0,02-05-2022 19:16:40,163,358,8,186
0,02-05-2022 19:16:40,131,437,492,449
0,02-05-2022 19:16:40,372,233,5,197
0,02-05-2022 19:16:40,117,48,32,304
0,02-05-2022 19:16:40,38,449,46,197
0,02-05-2022 19:16:40,227,430,455,468
0,02-05-2022 19:16:40,455,184,152,225
0,02-05-2022 19:16:40,287,264,494,463
0,02-05-2022 19:16:40,375,482,363,241
0,02-05-2022 19:16:40,135,480,77,347
0,02-05-2022 19:16:40,397,389,373,81
0,02-05-2022 19:16:40,373,290,383,437
0,02-05-2022 19:16:40,212,485,436,131
0,02-05-2022 19:16:40,418,174,486,466
0,02-05-2022 19:16:40,450,52,178,75
0,02-05-2022 19:16:40,148,13,269,346
0,02-05-2022 19:16:40,13,107,199,111
0,02-05-2022 19:16:40,403,147,186,418
0,02-05-2022 19:16:40,236,219,391,264
0,02-05-2022 19:16:40,3,245,313,182
0,02-05-2022 19:16:40,309,408,220,307
0,02-05-2022 19:16:40,188,479,303,9
0,02-05-2022 19:16:40,75,450,495,262
0,02-05-2022 19:16:40,146,45,291,318
0,02-05-2022 19:16:40,62,481,425,250
0,02-05-2022 19:16:40,396,226,102,475
0,02-05-2022 19:16:40,268,487,119,82
0,02-05-2022 19:16:40,389,480,307,483
0,02-05-2022 19:16:40,403,378,296,274
0,02-05-2022 19:16:40,172,45,26,392
0,02-05-2022 19:16:40,487,343,448,67
0,02-05-2022 19:16:40,409,232,74,148
0,02-05-2022 19:16:40,446,408,250,343
0,02-05-2022 19:16:40,468,346,76,301
0,02-05-2022 19:16:40,333,197,11,358
0,02-05-2022 19:16:40,307,439,270,462
0,02-05-2022 19:16:40,318,246,222,306
0,02-05-2022 19:16:40,20,483,155,64
0,02-05-2022 19:16:40,355,263,146,211
0,02-05-2022 19:16:40,413,62,183,53
0,02-05-2022 19:16:40,380,497,118,49
0,02-05-2022 19:16:40,268,403,335,395
0,02-05-2022 19:16:40,313,233,34,405
0,02-05-2022 19:16:40,289,442,420,20
0,02-05-2022 19:16:40,215,135,174,257
0,02-05-2022 19:16:40,188,254,492,494
0,02-05-2022 19:16:40,453,491,322,49
0,02-05-2022 19:16:40,218,431,341,75
0,02-05-2022 19:16:40,284,180,259,38
0,02-05-2022 19:16:40,375,1,139,8
0,02-05-2022 19:16:40,107,227,454,313
0,02-05-2022 19:16:40,314,377,336,256
0,02-05-2022 19:16:40,277,234,355,127
0,02-05-2022 19:16:40,428,436,287,398
0,02-05-2022 19:16:40,231,291,330,387
0,02-05-2022 19:16:40,233,63,144,201
0,02-05-2022 19:16:40,192,372,138,366
0,02-05-2022 19:16:40,27,84,184,253
0,02-05-2022 19:16:40,368,184,364,489
0,02-05-2022 19:16:40,125,473,368,1
0,02-05-2022 19:16:40,57,99,425,71
0,02-05-2022 19:16:40,481,367,83,48
0,02-05-2022 19:16:40,89,234,111,399
0,02-05-2022 19:16:40,342,307,13,138
0,02-05-2022 19:16:40,258,424,91,70
0,02-05-2022 19:16:40,48,435,303,459
0,02-05-2022 19:16:40,94,332,446,196
0,02-05-2022 19:16:40,33,435,15,166
0,02-05-2022 19:16:40,295,302,244,499
0,02-05-2022 19:16:40,160,232,290,322
0,02-05-2022 19:16:40,35,189,471,322
0,02-05-2022 19:16:40,133,365,43,461
0,02-05-2022 19:16:40,171,449,202,9
0,02-05-2022 19:16:40,472,306,360,108
0,02-05-2022 19:16:40,11,20,401,58
0,02-05-2022 19:16:40,57,216,417,273
0,02-05-2022 19:16:40,261,136,322,405
0,02-05-2022 19:16:40,244,444,394,84
0,02-05-2022 19:16:40,232,196,415,44
0,02-05-2022 19:16:40,425,271,469,483
0,02-05-2022 19:16:40,494,202,301,146
0,02-05-2022 19:16:40,317,304,479,100
0,02-05-2022 19:16:40,4,163,129,310
0,02-05-2022 19:16:40,110,415,278,347
0,02-05-2022 19:16:40,306,218,169,366
0,02-05-2022 19:16:40,50,488,175,410
0,02-05-2022 19:16:40,462,90,324,2
0,02-05-2022 19:16:40,494,364,449,86
0,02-05-2022 19:16:40,37,326,95,398
0,02-05-2022 19:16:40,216,449,419,451
0,02-05-2022 19:16:40,348,367,400,425
0,02-05-2022 19:16:40,27,420,212,47
0,02-05-2022 19:16:40,6,278,397,258
0,02-05-2022 19:16:40,74,44,332,121
0,02-05-2022 19:16:40,365,71,474,111
0,02-05-2022 19:16:40,422,188,321,289
0,02-05-2022 19:16:40,74,143,266,360
0,02-05-2022 19:16:40,364,54,279,83
0,02-05-2022 19:16:40,366,434,225,414
0,02-05-2022 19:16:40,90,465,208,494
0,02-05-2022 19:16:40,166,467,393,105
0,02-05-2022 19:16:40,438,273,384,165
0,02-05-2022 19:16:40,160,79,390,484
0,02-05-2022 19:16:40,465,485,393,313
0,02-05-2022 19:16:40,391,449,180,4
0,02-05-2022 19:16:40,322,396,433,367
0,02-05-2022 19:16:40,495,268,260,377
0,02-05-2022 19:16:40,39,81,258,426
0,02-05-2022 19:16:40,461,148,477,433
0,02-05-2022 19:16:40,213,24,492,207
0,02-05-2022 19:16:40,374,274,153,357
0,02-05-2022 19:16:40,231,241,84,398
0,02-05-2022 19:16:40,212,22,185,291
0,02-05-2022 19:16:40,136,306,258,399
0,02-05-2022 19:16:40,10,455,466,447
0,02-05-2022 19:16:40,298,302,23,93
0,02-05-2022 19:16:40,414,183,461,45
0,02-05-2022 19:16:40,394,261,481,423
0,02-05-2022 19:16:40,12,189,25,358
0,02-05-2022 19:16:40,243,255,347,86
0,02-05-2022 19:16:40,145,402,310,252
0,02-05-2022 19:16:40,141,383,398,243
0,02-05-2022 19:16:40,441,379,227,240
0,02-05-2022 19:16:40,91,115,247,45
0,02-05-2022 19:16:40,239,436,146,6
0,02-05-2022 19:16:40,301,167,470,455
0,02-05-2022 19:16:40,294,366,17,423
0,02-05-2022 19:16:40,441,223,489,340
0,02-05-2022 19:16:40,147,45,71,57
0,02-05-2022 19:16:40,251,437,338,252
0,02-05-2022 19:16:40,390,411,279,482
0,02-05-2022 19:16:40,123,402,10,26
0,02-05-2022 19:16:40,375,317,110,152
0,02-05-2022 19:16:40,268,382,78,442
0,02-05-2022 19:16:40,220,234,33,268
0,02-05-2022 19:16:40,184,79,231,281
0,02-05-2022 19:16:40,47,19,486,315
0,02-05-2022 19:16:40,263,8,218,448
0,02-05-2022 19:16:40,297,347,67,309
0,02-05-2022 19:16:40,434,110,297,86
0,02-05-2022 19:16:40,273,299,479,420
0,02-05-2022 19:16:40,441,314,101,108
0,02-05-2022 19:16:40,245,448,294,369
0,02-05-2022 19:16:40,21,388,334,222
0,02-05-2022 19:16:40,146,305,162,73
0,02-05-2022 19:16:40,455,159,479,180
0,02-05-2022 19:16:40,431,1,180,317
0,02-05-2022 19:16:40,369,169,41,23
0,02-05-2022 19:16:40,415,359,437,241
0,02-05-2022 19:16:40,445,211,300,427
0,02-05-2022 19:16:40,493,161,189,169
0,02-05-2022 19:16:40,3,183,175,177
0,02-05-2022 19:16:40,478,160,394,286
0,02-05-2022 19:16:40,293,173,142,152
0,02-05-2022 19:16:40,75,320,218,34
0,02-05-2022 19:16:40,201,246,157,337
0,02-05-2022 19:16:40,201,474,475,6
0,02-05-2022 19:16:40,345,138,214,468
0,02-05-2022 19:16:40,494,11,130,220
0,02-05-2022 19:16:40,355,105,292,339
0,02-05-2022 19:16:40,32,294,373,77
0,02-05-2022 19:16:40,268,435,385,293
0,02-05-2022 19:16:40,429,182,351,337
0,02-05-2022 19:16:40,343,210,409,36
0,02-05-2022 19:16:40,400,447,202,405
0,02-05-2022 19:16:40,406,318,201,202
0,02-05-2022 19:16:40,249,377,447,49
0,02-05-2022 19:16:40,86,429,9,376
0,02-05-2022 19:16:40,338,386,71,404
0,02-05-2022 19:16:40,404,406,165,178
0,02-05-2022 19:16:40,66,284,169,150
0,02-05-2022 19:16:40,155,254,275,81
0,02-05-2022 19:16:40,426,235,311,383
0,02-05-2022 19:16:40,148,374,438,500
0,02-05-2022 19:16:40,351,107,340,191
0,02-05-2022 19:16:40,348,389,75,394
0,02-05-2022 19:16:40,39,368,128,243
0,02-05-2022 19:16:40,417,208,471,371
0,02-05-2022 19:16:40,302,301,329,310
0,02-05-2022 19:16:40,422,23,287,429
0,02-05-2022 19:16:40,124,31,149,131
0,02-05-2022 19:16:40,132,131,173,240
0,02-05-2022 19:16:40,428,12,56,294
0,02-05-2022 19:16:40,142,349,427,438
0,02-05-2022 19:16:40,326,231,323,436
0,02-05-2022 19:16:40,326,267,47,369
0,02-05-2022 19:16:40,390,331,144,370
0,02-05-2022 19:16:40,449,307,268,49
0,02-05-2022 19:16:40,336,213,82,243
0,02-05-2022 19:16:40,208,454,343,419
0,02-05-2022 19:16:40,77,460,141,142
0,02-05-2022 19:16:40,399,380,191,202
0,02-05-2022 19:16:40,313,391,217,367
0,02-05-2022 19:16:40,7,357,271,258
0,02-05-2022 19:16:40,400,111,340,101
0,02-05-2022 19:16:40,187,43,413,333
0,02-05-2022 19:16:40,459,487,378,453
0,02-05-2022 19:16:40,454,364,25,233
0,02-05-2022 19:16:40,345,440,178,460
0,02-05-2022 19:16:40,48,101,163,130
0,02-05-2022 19:16:40,88,275,443,320
0,02-05-2022 19:16:40,487,166,161,302
0,02-05-2022 19:16:40,51,120,58,364
0,02-05-2022 19:16:40,10,258,179,424
0,02-05-2022 19:16:40,184,452,384,99
0,02-05-2022 19:16:40,141,348,227,422
0,02-05-2022 19:16:40,417,2,494,318
0,02-05-2022 19:16:40,140,323,339,280
0,02-05-2022 19:16:40,484,293,82,458
0,02-05-2022 19:16:40,239,500,331,445
0,02-05-2022 19:16:40,46,327,196,197
0,02-05-2022 19:16:40,474,14,353,30
0,02-05-2022 19:16:40,247,114,472,403
0,02-05-2022 19:16:40,266,472,71,141
0,02-05-2022 19:16:40,344,194,25,465
0,02-05-2022 19:16:40,327,180,27,305
0,02-05-2022 19:16:40,81,236,12,371
0,02-05-2022 19:16:40,428,179,143,224
0,02-05-2022 19:16:40,143,200,388,269
0,02-05-2022 19:16:40,289,456,483,350
0,02-05-2022 19:16:40,281,456,371,230
0,02-05-2022 19:16:40,199,495,467,483
0,02-05-2022 19:16:40,460,101,175,347
0,02-05-2022 19:16:40,413,135,85,414
0,02-05-2022 19:16:40,52,126,407,182
0,02-05-2022 19:16:40,215,361,218,369
0,02-05-2022 19:16:40,392,296,389,327
0,02-05-2022 19:16:40,277,95,42,90
0,02-05-2022 19:16:40,218,287,458,21
0,02-05-2022 19:16:40,20,95,397,436
0,02-05-2022 19:16:40,130,323,148,357
0,02-05-2022 19:16:40,351,438,469,429
0,02-05-2022 19:16:40,239,181,124,129
0,02-05-2022 19:16:40,405,103,325,59
0,02-05-2022 19:16:40,77,357,267,113
0,02-05-2022 19:16:40,74,500,87,185
0,02-05-2022 19:16:40,25,142,182,117
0,02-05-2022 19:16:40,45,167,340,122
0,02-05-2022 19:16:40,1,269,308,325
0,02-05-2022 19:16:40,248,442,227,415
0,02-05-2022 19:16:40,70,189,217,264
0,02-05-2022 19:16:40,396,226,419,270
0,02-05-2022 19:16:40,296,69,16,330
0,02-05-2022 19:16:40,385,457,327,249
0,02-05-2022 19:16:40,399,345,455,39
0,02-05-2022 19:16:40,242,377,66,128
0,02-05-2022 19:16:40,258,11,239,392
0,02-05-2022 19:16:40,480,174,149,183
0,02-05-2022 19:16:40,147,18,445,249
0,02-05-2022 19:16:40,338,119,433,299
0,02-05-2022 19:16:40,90,438,213,46
0,02-05-2022 19:16:40,382,291,109,326
0,02-05-2022 19:16:40,138,426,239,253
0,02-05-2022 19:16:40,306,316,3,312
0,02-05-2022 19:16:40,236,150,367,357
0,02-05-2022 19:16:40,213,212,138,382
0,02-05-2022 19:16:40,148,140,16,250
0,02-05-2022 19:16:40,39,323,94,488
0,02-05-2022 19:16:40,165,137,420,424
0,02-05-2022 19:16:40,213,293,204,251
0,02-05-2022 19:16:40,360,358,478,410
0,02-05-2022 19:16:40,214,376,327,351
0,02-05-2022 19:16:40,431,408,352,483
0,02-05-2022 19:16:40,360,125,495,344
0,02-05-2022 19:16:40,474,95,418,74
0,02-05-2022 19:16:40,396,65,337,93
0,02-05-2022 19:16:40,189,108,240,419
0,02-05-2022 19:16:40,60,241,310,10
0,02-05-2022 19:16:40,482,72,350,429
0,02-05-2022 19:16:40,76,311,274,317
0,02-05-2022 19:16:40,464,429,78,197
0,02-05-2022 19:16:40,29,455,271,83
0,02-05-2022 19:16:40,496,473,201,275
0,02-05-2022 19:16:40,62,403,21,0
0,02-05-2022 19:16:40,175,464,410,265
0,02-05-2022 19:16:40,417,53,271,127
0,02-05-2022 19:16:40,310,131,154,434
0,02-05-2022 19:16:40,478,490,440,68
0,02-05-2022 19:16:40,206,224,229,256
0,02-05-2022 19:16:40,318,98,234,72
0,02-05-2022 19:16:40,261,284,68,484
0,02-05-2022 19:16:40,109,432,451,419
0,02-05-2022 19:16:40,345,186,337,30
0,02-05-2022 19:16:40,383,367,394,90
0,02-05-2022 19:16:40,408,498,239,287
